"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/12/2020","AQS","160850002","4","3.2","ug/m3 LC","13","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/13/2020","AQS","160850002","4","3.4","ug/m3 LC","14","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/14/2020","AQS","160850002","4","7.1","ug/m3 LC","30","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/15/2020","AQS","160850002","4","14.7","ug/m3 LC","56","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/16/2020","AQS","160850002","4","5.3","ug/m3 LC","22","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/17/2020","AQS","160850002","4","7.6","ug/m3 LC","32","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/18/2020","AQS","160850002","4","11.8","ug/m3 LC","49","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/19/2020","AQS","160850002","4","17.5","ug/m3 LC","62","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/20/2020","AQS","160850002","4","26.7","ug/m3 LC","82","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/21/2020","AQS","160850002","4","17.2","ug/m3 LC","62","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/22/2020","AQS","160850002","4","10.2","ug/m3 LC","43","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"01/23/2020","AQS","160850002","4","6.9","ug/m3 LC","29","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
